iter	Passed	Remaining
0	90	90205
1	91	45473
2	91	30529
3	92	23060
4	93	18564
5	94	15591
6	94	13468
7	95	11894
8	96	10635
9	97	9604
10	97	8771
11	98	8080
12	98	7492
13	99	6987
14	99	6556
15	100	6170
16	100	5827
17	101	5533
18	101	5265
19	102	5027
20	103	4809
21	103	4612
22	104	4431
23	104	4264
24	105	4114
25	106	3974
26	106	3838
27	107	3721
28	107	3608
29	108	3505
30	108	3404
31	109	3311
32	110	3233
33	110	3151
34	111	3070
35	111	2996
36	112	2925
37	113	2866
38	114	2818
39	115	2761
40	115	2703
41	116	2661
42	117	2611
43	117	2563
44	118	2518
45	119	2475
46	120	2438
47	120	2396
48	121	2365
49	122	2330
50	123	2294
51	123	2258
52	124	2226
53	125	2196
54	125	2163
55	126	2134
56	127	2106
57	127	2076
58	128	2047
59	129	2022
60	129	1994
61	130	1969
62	130	1945
63	131	1922
64	132	1901
65	132	1880
66	133	1859
67	134	1842
68	135	1823
69	135	1805
70	136	1785
71	137	1768
72	137	1749
73	138	1732
74	139	1717
75	139	1701
76	140	1685
77	141	1673
78	142	1657
79	142	1642
80	143	1626
81	144	1613
82	144	1596
83	145	1583
84	145	1571
85	146	1559
86	147	1545
87	147	1532
88	148	1519
89	149	1507
90	149	1496
91	150	1486
92	151	1475
93	151	1463
94	152	1451
95	152	1438
96	153	1429
97	154	1418
98	154	1408
99	155	1398
100	155	1388
101	156	1378
102	157	1368
103	157	1360
104	158	1351
105	159	1342
106	159	1333
107	160	1324
108	161	1317
109	161	1309
110	162	1301
111	163	1292
112	163	1284
113	164	1277
114	164	1268
115	165	1260
116	165	1252
117	166	1243
118	166	1236
119	167	1228
120	168	1221
121	168	1213
122	169	1206
123	169	1200
124	170	1193
125	171	1186
126	171	1179
127	172	1172
128	172	1166
129	173	1159
130	173	1152
131	174	1146
132	174	1140
133	175	1134
134	176	1128
135	176	1123
136	177	1117
137	177	1111
138	178	1107
139	179	1101
140	179	1095
141	180	1088
142	180	1083
143	181	1078
144	181	1072
145	182	1067
146	183	1063
147	183	1058
148	184	1053
149	185	1049
150	185	1045
151	186	1042
152	187	1038
153	188	1034
154	188	1030
155	189	1025
156	190	1021
157	190	1016
158	191	1012
159	192	1008
160	192	1003
161	193	998
162	193	994
163	194	990
164	194	986
165	195	981
166	196	977
167	196	973
168	197	969
169	197	965
170	198	961
171	198	957
172	199	953
173	199	948
174	200	944
175	201	941
176	201	938
177	202	934
178	202	931
179	203	927
180	204	924
181	204	920
182	205	917
183	206	913
184	206	910
185	207	907
186	207	903
187	208	900
188	209	897
189	209	893
190	210	890
191	210	887
192	211	883
193	211	880
194	212	877
195	213	874
196	213	871
197	214	868
198	215	865
199	215	862
200	216	858
201	216	855
202	217	852
203	217	849
204	218	846
205	218	843
206	219	840
207	220	838
208	220	835
209	221	832
210	221	829
211	222	826
212	223	824
213	223	821
214	224	818
215	224	815
216	225	813
217	225	810
218	226	808
219	227	805
220	227	802
221	228	799
222	228	797
223	229	794
224	229	791
225	230	789
226	231	786
227	231	784
228	232	781
229	232	779
230	233	776
231	233	773
232	234	771
233	234	769
234	235	766
235	236	764
236	236	762
237	237	759
238	237	757
239	238	755
240	239	752
241	239	750
242	240	747
243	240	745
244	241	743
245	241	741
246	242	739
247	242	736
248	243	734
249	244	732
250	244	729
251	245	728
252	245	726
253	246	724
254	247	722
255	247	720
256	248	717
257	248	715
258	249	713
259	249	711
260	250	709
261	251	707
262	251	705
263	252	703
264	252	701
265	253	699
266	254	697
267	254	695
268	255	693
269	255	691
270	256	689
271	256	687
272	257	685
273	258	683
274	258	681
275	259	679
276	259	677
277	260	675
278	260	673
279	261	671
280	261	669
281	262	667
282	262	665
283	263	664
284	263	662
285	264	660
286	264	658
287	265	656
288	266	654
289	266	652
290	267	650
291	267	648
292	268	647
293	268	645
294	269	643
295	269	642
296	270	640
297	271	639
298	271	637
299	272	635
300	273	634
301	273	632
302	274	630
303	274	629
304	275	627
305	276	626
306	276	624
307	277	622
308	277	621
309	278	619
310	278	618
311	279	616
312	280	614
313	280	613
314	281	611
315	281	610
316	282	609
317	283	608
318	284	606
319	284	605
320	285	603
321	285	601
322	286	600
323	287	598
324	287	597
325	288	595
326	288	594
327	289	592
328	289	591
329	290	589
330	291	588
331	291	586
332	292	585
333	292	583
334	293	582
335	293	580
336	294	578
337	294	577
338	295	575
339	295	574
340	296	573
341	297	571
342	297	569
343	298	568
344	298	567
345	299	565
346	299	564
347	300	562
348	301	561
349	301	560
350	302	558
351	302	557
352	303	556
353	303	554
354	304	553
355	305	551
356	305	550
357	306	549
358	306	547
359	307	546
360	308	545
361	308	544
362	309	543
363	310	541
364	310	540
365	311	539
366	311	537
367	312	536
368	313	535
369	313	534
370	314	532
371	314	531
372	315	530
373	315	528
374	316	527
375	317	526
376	317	524
377	318	523
378	318	522
379	319	521
380	320	520
381	320	518
382	321	517
383	321	516
384	322	514
385	322	513
386	323	512
387	323	510
388	324	509
389	325	508
390	325	507
391	326	506
392	326	504
393	327	503
394	327	502
395	328	500
396	329	499
397	329	498
398	330	497
399	330	496
400	331	494
401	331	493
402	332	492
403	333	491
404	333	490
405	334	489
406	335	488
407	335	487
408	336	485
409	336	484
410	337	483
411	337	482
412	338	481
413	339	479
414	339	478
415	340	477
416	340	476
417	341	475
418	341	474
419	342	473
420	343	472
421	343	470
422	344	469
423	344	468
424	345	467
425	345	466
426	346	464
427	347	463
428	347	462
429	348	461
430	348	460
431	349	459
432	350	458
433	350	457
434	351	456
435	351	455
436	352	454
437	353	453
438	353	451
439	354	450
440	354	449
441	355	448
442	355	447
443	356	446
444	356	445
445	357	444
446	358	442
447	358	441
448	359	440
449	359	439
450	360	438
451	360	437
452	361	436
453	361	435
454	362	434
455	363	433
456	363	432
457	364	431
458	364	430
459	365	429
460	366	427
461	366	426
462	367	425
463	367	424
464	368	423
465	368	422
466	369	421
467	369	420
468	370	419
469	371	418
470	371	417
471	372	416
472	372	415
473	373	414
474	373	413
475	374	412
476	374	410
477	375	409
478	375	408
479	376	407
480	376	406
481	377	405
482	377	404
483	378	403
484	378	402
485	379	401
486	379	400
487	380	399
488	381	398
489	381	397
490	382	396
491	382	395
492	383	394
493	383	393
494	384	392
495	384	391
496	385	390
497	386	389
498	386	388
499	387	387
500	387	386
501	388	385
502	388	384
503	389	383
504	389	382
505	390	381
506	390	380
507	391	379
508	391	378
509	392	377
510	392	376
511	393	375
512	394	374
513	394	373
514	395	372
515	395	371
516	396	370
517	396	369
518	397	368
519	397	367
520	398	366
521	398	365
522	399	364
523	399	363
524	400	362
525	400	361
526	401	360
527	401	359
528	402	358
529	403	357
530	403	356
531	404	355
532	404	354
533	405	353
534	405	352
535	406	351
536	407	350
537	407	349
538	408	349
539	408	348
540	409	347
541	409	346
542	410	345
543	410	344
544	411	343
545	411	342
546	412	341
547	412	340
548	413	339
549	413	338
550	414	337
551	415	336
552	415	336
553	416	335
554	416	334
555	417	333
556	417	332
557	418	331
558	419	330
559	419	329
560	420	328
561	420	327
562	421	326
563	421	325
564	422	325
565	422	324
566	423	323
567	424	322
568	424	321
569	425	320
570	425	319
571	426	318
572	426	318
573	427	317
574	427	316
575	428	315
576	428	314
577	429	313
578	430	312
579	430	311
580	431	310
581	431	310
582	432	309
583	433	308
584	433	307
585	434	306
586	434	305
587	435	304
588	435	304
589	436	303
590	436	302
591	437	301
592	438	300
593	438	299
594	439	299
595	439	298
596	440	297
597	441	296
598	441	295
599	442	294
600	442	294
601	443	293
602	443	292
603	444	291
604	445	290
605	445	289
606	446	288
607	446	287
608	447	287
609	447	286
610	448	285
611	449	284
612	449	283
613	450	283
