iter	Passed	Remaining
0	0	59
1	1	55
2	1	53
3	2	51
4	2	51
5	3	50
6	3	49
7	4	48
8	4	47
9	5	46
10	5	45
11	6	44
12	6	43
13	7	43
14	7	42
15	7	41
16	8	40
17	8	40
18	9	40
19	10	40
20	10	39
21	11	39
22	11	38
23	12	38
24	12	37
25	12	36
26	13	36
27	13	35
28	14	35
29	14	34
30	15	33
31	15	33
32	16	32
33	17	34
34	18	34
35	18	33
36	19	32
37	19	32
38	20	31
39	20	30
40	21	30
41	21	29
42	21	28
43	22	28
44	22	27
45	22	26
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	26	22
55	27	21
56	27	21
57	28	20
58	28	19
59	29	19
60	29	18
61	30	18
62	30	17
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	36	12
75	37	11
76	37	11
77	38	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	42	6
86	42	6
87	42	5
88	43	5
89	43	4
90	44	4
91	44	3
92	45	3
93	45	2
94	46	2
95	46	1
96	47	1
97	47	0
98	48	0
99	48	0
